id,source_id,school,mascot,abbreviation,display_name,short_display_name,primary_color,secondary_color,current_venue_id,current_venue,current_city,current_state,conference_id,conference
264,2561,Siena,Saints,SIE,Siena Saints,Siena,037961,eea60f,71,MVP Arena,Albany,NY,16,MAAC
87,57,Florida,Gators,FLA,Florida Gators,Florida,0021a5,fa4616,240,Stephen C. O'Connell Center,Gainesville,FL,24,SEC
124,2294,Iowa,Hawkeyes,IOWA,Iowa Hawkeyes,Iowa,000000,fcd116,144,Carver-Hawkeye Arena,Iowa City,IA,10,Big Ten
148,309,Louisiana,Ragin' Cajuns,UL,Louisiana Ragin' Cajuns,Louisiana,ce181e,ffffff,127,Cajundome,Lafayette,LA,29,Sun Belt
236,2509,Purdue,Boilermakers,PUR,Purdue Boilermakers,Purdue,000000,cfb991,11,Mackey Arena,West Lafayette,IN,10,Big Ten
29,71,Bradley,Braves,BRAD,Bradley Braves,Bradley,b70002,c0c0c0,121,Carver Arena,Peoria,IL,19,MVC
125,66,Iowa State,Cyclones,ISU,Iowa State Cyclones,Iowa State,822433,fdca2f,4,Hilton Coliseum,Ames,IA,6,Big 12
189,2440,Nevada,Wolf Pack,NEV,Nevada Wolf Pack,Nevada,002d62,ffffff,186,Lawlor Events Center,Reno,NV,20,Mountain West
308,300,UC Irvine,Anteaters,UCI,UC Irvine Anteaters,UC Irvine,002B5C,fec52e,192,Bren Events Center,Irvine,CA,11,Big West
311,2540,UC Santa Barbara,Gauchos,UCSB,UC Santa Barbara Gauchos,Santa Barbara,1e1840,febc11,184,The Thunderdome,Santa Barbara,CA,11,Big West
57,36,Colorado State,Rams,CSU,Colorado State Rams,Colorado St,1e4d2b,c8c372,178,Moby Arena,Fort Collins,CO,20,Mountain West
313,26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,16,Pauley Pavilion,Los Angeles,CA,10,Big Ten
253,2608,Saint Mary's,Gaels,SMC,Saint Mary's Gaels,Saint Mary's,d80024,003057,181,University Credit Union Pavilion,Moraga,CA,31,WCC
40,25,California,Golden Bears,CAL,California Golden Bears,California,031522,ffc423,195,Haas Pavilion,Berkeley,CA,2,ACC
258,301,San Diego,Toreros,USD,San Diego Toreros,San Diego,2f99d4,2f99d4,239,Jenny Craig Pavilion,San Diego,CA,31,WCC
224,204,Oregon State,Beavers,ORST,Oregon State Beavers,Oregon St,231f20,d73f09,180,Gill Coliseum,Corvallis,OR,31,WCC
105,2739,Green Bay,Phoenix,GB,Green Bay Phoenix,Green Bay,006633,ffffff,273,Resch Center,Ashwaubenon,WI,14,Horizon
145,299,Long Beach State,Beach,LBSU,Long Beach State Beach,Long Beach St,000000,f1f2f3,190,Walter Pyramid,Long Beach,CA,11,Big West
108,62,Hawai'i,Rainbow Warriors,HAW,Hawai'i Rainbow Warriors,Hawai'i,003420,ffffff,288,Stan Sheriff Center,Honolulu,HI,11,Big West
225,279,Pacific,Tigers,PAC,Pacific Tigers,Pacific,F47820,c2c3c0,182,Alex G. Spanos Center,Stockton,CA,31,WCC
136,99,LSU,Tigers,LSU,LSU Tigers,LSU,461d7c,fdd023,232,Pete Maravich Assembly Center,Baton Rouge,LA,24,SEC
38,2463,Cal State Northridge,Matadors,CSUN,Cal State Northridge Matadors,CSU Northridge,b50000,,351,Premier America Credit Union Arena,Northridge,CA,11,Big West
237,2870,Purdue Fort Wayne,Mastodons,PFW,Purdue Fort Wayne Mastodons,Purdue FW,00378A,f0f0f0,44,Memorial Coliseum (IN),Fort Wayne,IN,14,Horizon
343,264,Washington,Huskies,WASH,Washington Huskies,Washington,33006f,e8d3a2,207,Alaska Airlines Arena,Seattle,WA,10,Big Ten
259,2539,San Francisco,Dons,SF,San Francisco Dons,San Francisco,22523F,fbcd3c,205,The Sobrato Center,San Francisco,CA,31,WCC
35,13,Cal Poly,Mustangs,CP,Cal Poly Mustangs,Cal Poly,1E4D2B,eed897,323,Mott Athletics Center,San Luis Obispo,CA,11,Big West
281,24,Stanford,Cardinal,STAN,Stanford Cardinal,Stanford,8c1515,ffffff,25,Maples Pavilion,Stanford,CA,2,ACC
10,9,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Arizona St,8e0c3a,ffc72c,203,Desert Financial Arena,Tempe,AZ,6,Big 12
68,2172,Denver,Pioneers,DEN,Denver Pioneers,Denver,98002e,a8996e,268,Hamilton Gymnasium,Denver,CO,28,Summit
355,275,Wisconsin,Badgers,WIS,Wisconsin Badgers,Wisconsin,c4012f,ffffff,142,Kohl Center,Madison,WI,10,Big Ten
92,278,Fresno State,Bulldogs,FRES,Fresno State Bulldogs,Fresno St,c41230,13284c,289,Save Mart Center,Fresno,CA,20,Mountain West
185,152,NC State,Wolfpack,NCSU,NC State Wolfpack,NC State,cc0000,ffffff,74,Lenovo Center,Raleigh,NC,2,ACC
228,2492,Pepperdine,Waves,PEPP,Pepperdine Waves,Pepperdine,003A72,dc762f,233,Firestone Fieldhouse,Malibu,CA,31,WCC
11,12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,0c234b,ab0520,8,McKale Memorial Center,Tucson,AZ,6,Big 12
205,111,Northeastern,Huskies,NE,Northeastern Huskies,Northeastern,CC0001,c2c3c0,320,Matthews Arena,Boston,MA,12,CAA
163,235,Memphis,Tigers,MEM,Memphis Tigers,Memphis,004991,8e908f,145,FedExForum,Memphis,TN,5,American
97,46,Georgetown,Hoyas,GTWN,Georgetown Hoyas,Georgetown,110E42,001c58,226,Capital One Arena,Washington,DC,7,Big East
263,2550,Seton Hall,Pirates,HALL,Seton Hall Pirates,Seton Hall,0857B1,8a8d8f,107,Prudential Center,Newark,NJ,7,Big East
315,82,UIC,Flames,UIC,UIC Flames,UIC,001e62,d50032,117,Credit Union 1 Arena,Chicago,IL,19,MVC
139,2320,Lamar,Cardinals,LAM,Lamar Cardinals,Lamar,000000,ebebeb,133,Montagne Center,Beaumont,TX,27,Southland
171,2393,Middle Tennessee,Blue Raiders,MTSU,Middle Tennessee Blue Raiders,MTSU,006db6,ffffff,20,Murphy Center,Murfreesboro,TN,13,CUSA
227,219,Pennsylvania,Quakers,PENN,Pennsylvania Quakers,Penn,082A74,a6163d,252,The Palestra,Philadelphia,PA,15,Ivy
234,163,Princeton,Tigers,PRIN,Princeton Tigers,Princeton,000000,ff6000,89,Jadwin Gymnasium,Princeton,NJ,15,Ivy
239,2515,Radford,Highlanders,RAD,Radford Highlanders,Radford,BC1515,c2c3c0,274,The Dedmon Center,Radford,VA,9,Big South
241,242,Rice,Owls,RICE,Rice Owls,Rice,d1d5d8,ffffff,197,Tudor Fieldhouse,Houston,TX,5,American
71,2182,Drexel,Dragons,DREX,Drexel Dragons,Drexel,020260,ffd65a,33,Daskalakis Athletic Center,Philadelphia,PA,12,CAA
41,2097,Campbell,Fighting Camels,CAM,Campbell Fighting Camels,Campbell,000000,,100,John W. Pope Jr. Convocation Center,Buies Creek,NC,12,CAA
238,2514,Quinnipiac,Bobcats,QUIN,Quinnipiac Bobcats,Quinnipiac,041B43,,249,M&T Bank Arena,Hamden,CT,16,MAAC
43,2110,Central Arkansas,Bears,CARK,Central Arkansas Bears,C Arkansas,a7a9ac,8e959a,349,Farris Center,Conway,AR,3,ASUN
8,44,American University,Eagles,AMER,American University Eagles,American,c41130,c8102e,318,Bender Arena,Washington,DC,23,Patriot
52,228,Clemson,Tigers,CLEM,Clemson Tigers,Clemson,f56600,522d80,91,Littlejohn Coliseum,Clemson,SC,2,ACC
60,172,Cornell,Big Red,COR,Cornell Big Red,Cornell,d60027,101010,60,Newman Arena,Ithaca,NY,15,Ivy
72,150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,6,Cameron Indoor Stadium,Durham,NC,2,ACC
78,2198,Eastern Kentucky,Colonels,EKU,Eastern Kentucky Colonels,E Kentucky,660819,f0f0f0,441,Baptist Health Arena,Richmond,KY,3,ASUN
250,2529,Sacred Heart,Pioneers,SHU,Sacred Heart Pioneers,Sacred Heart,a40012,c29472,387,William H. Pitt Center,Fairfield,CT,16,MAAC
272,2546,Southeast Missouri State,Redhawks,SEMO,Southeast Missouri State Redhawks,SE Missouri,c8102e,000000,347,Show Me Center,Cape Girardeau,MO,22,OVC
323,30,USC,Trojans,USC,USC Trojans,USC,9e2237,ffcc00,187,Galen Center,Los Angeles,CA,10,Big Ten
247,2565,SIU Edwardsville,Cougars,SIUE,SIU Edwardsville Cougars,SIUE,eb1c23,080808,156,First Community Arena,Edwardsville,IL,22,OVC
210,94,Northern Kentucky,Norse,NKU,Northern Kentucky Norse,N Kentucky,ffc82e,000000,354,Truist Arena,Highland Heights,KY,14,Horizon
354,2737,Winthrop,Eagles,WIN,Winthrop Eagles,Winthrop,9e0b0e,fdb41e,37,Winthrop Coliseum,Rock Hill,SC,9,Big South
