season,season_label,team_id,team,conference,games,wins,losses,total_minutes,pace,field_goals_pct,field_goals_attempted,field_goals_made,two_point_field_goals_pct,two_point_field_goals_attempted,two_point_field_goals_made,three_point_field_goals_pct,three_point_field_goals_attempted,three_point_field_goals_made,free_throws_pct,free_throws_attempted,free_throws_made,rebounds_total,rebounds_defensive,rebounds_offensive,turnovers_team_total,turnovers_total,fouls_flagrant,fouls_technical,fouls_total,points_fast_break,points_off_turnovers,points_in_paint,points_total,four_factors_free_throw_rate,four_factors_offensive_rebound_pct,four_factors_turnover_ratio,four_factors_effective_field_goal_pct,opp_field_goals_pct,opp_field_goals_attempted,opp_field_goals_made,opp_two_point_field_goals_pct,opp_two_point_field_goals_attempted,opp_two_point_field_goals_made,opp_three_point_field_goals_pct,opp_three_point_field_goals_attempted,opp_three_point_field_goals_made,opp_free_throws_pct,opp_free_throws_attempted,opp_free_throws_made,opp_rebounds_total,opp_rebounds_defensive,opp_rebounds_offensive,opp_turnovers_team_total,opp_turnovers_total,opp_fouls_flagrant,opp_fouls_technical,opp_fouls_total,opp_points_fast_break,opp_points_off_turnovers,opp_points_in_paint,opp_points_total,opp_four_factors_free_throw_rate,opp_four_factors_offensive_rebound_pct,opp_four_factors_turnover_ratio,opp_four_factors_effective_field_goal_pct,adj_pace,adjoff_assists,adjoff_true_shooting,adjoff_opp_blocks,adjoff_opp_steals,adjoff_field_goals_pct,adjoff_two_point_field_goals_pct,adjoff_three_point_field_goals_pct,adjoff_free_throws_pct,adjoff_rebounds_offensive,adjoff_turnovers_total,adjoff_points_fast_break,adjoff_points_off_turnovers,adjoff_points_in_paint,adjoff_points_per_poss,adjdef_opp_assists,adjdef_opp_true_shooting,adjdef_blocks,adjdef_steals,adjdef_opp_field_goals_pct,adjdef_opp_two_point_field_goals_pct,adjdef_opp_three_point_field_goals_pct,adjdef_opp_free_throws_pct,adjdef_rebounds_defensive,adjdef_opp_turnovers_total,adjdef_opp_points_fast_break,adjdef_opp_points_off_turnovers,adjdef_opp_points_in_paint,adjdef_opp_points_per_poss,adjoff_ppg,adjdef_ppg,OffVoA_MeanRating,OffVoA_MedRating,OffVoA_975PctRating,OffVoA_025PctRating,OffVoA_SD,DefVoA_MeanRating,DefVoA_MedRating,DefVoA_975PctRating,DefVoA_025PctRating,DefVoA_SD,OvrlVoA_MeanRating,OvrlVoA_975pctRating,OvrlVoA_025pctRating,OvrlVoARanking,OffVoARanking,DefVoARanking
2025,20242025,1,Abilene Christian,WAC,32,16,16,1310,66.4,44.4,1845,819,49.4,1362,673,30.2,483,146,71.5,666,476,1083,727,356,14,476,0,9,671,359,581,1164,2260,36.1,32.9,0.22,48.3,44.6,1675,747,51.5,1098,566,31.4,577,181,69.6,825,574,1074,762,312,28,547,0,5,570,306,459,1032,2249,49.3,29.1,0.25,50.0,67.70311019458362,12.548697570293454,53.60139071907185,4.021919108802568,7.878771537746819,43.26169703022461,48.99203179904928,32.4875766215923,70.94512607322174,10.777655131982579,13.603777090638307,10.780201713038895,14.778365648045357,30.149644899467678,1.013833382545408,12.583576820116612,59.389265844513226,2.797033394953867,8.868492460014949,48.63602199599712,54.02383759139892,36.29696295057161,72.21312773020483,20.857017194585215,15.084519639953973,11.840667152744697,14.702681756608731,33.26072359640639,1.0752752410123811,68.6396732174192,72.7994781317687,70.79432566352351,70.79494663736018,74.99743831365203,66.54612256446981,2.1583243066534297,73.33266163860685,73.33041015531217,75.54568858460074,71.09697464094607,1.1372360410252356,-2.538335975083342,-0.5482502709487136,-4.550852076476261,252,302,143
2025,20242025,2,Air Force,Mountain West,32,4,28,1310,61.1,42.1,1616,680,50.5,833,421,33.1,783,259,63.5,572,363,956,720,236,43,432,0,1,571,174,336,768,1982,35.4,24.7,0.22,50.1,48.1,1758,845,54.8,1121,614,36.3,637,231,70.0,623,436,1096,802,294,17,327,0,3,558,302,535,1108,2357,35.4,26.8,0.16,54.6,66.61658426939567,12.344231781935445,53.03080859809595,3.471747998619701,7.5659510263105005,43.26349293921059,51.31977571751993,31.611064336121288,68.36390399629774,7.830979381281789,14.114252745519844,7.007920038018087,11.227579474490513,29.104074176378777,0.9523462637816144,14.982098791427912,58.78112544482279,2.575639306809754,5.779841397771949,47.87623410288974,55.067717389541706,35.151039151663355,72.23110739490714,22.505846407869534,10.370027828023957,10.855367839799507,16.661217904746515,34.31419453885439,1.1724181188677198,63.44205513485203,78.10249041451782,65.07374335800252,65.07974789749937,69.36406423326326,60.791132004907716,2.1777840253049687,79.1873640388075,79.19402199005894,81.32312443508219,77.04042169353923,1.0908748923567129,-14.113620680804985,-11.959060201818929,-16.249289688631514,362,363,337
2025,20242025,3,Akron,MAC,35,28,7,1415,69.1,46.9,2259,1060,56.0,1222,684,36.3,1037,376,75.4,590,445,1348,934,414,13,414,0,8,623,462,555,1208,2941,26.1,30.7,0.17,55.2,43.3,2157,933,50.3,1333,670,31.9,824,263,71.7,692,496,1225,850,375,16,444,0,3,578,362,419,1140,2625,32.1,30.6,0.18,49.4,69.71647996639413,17.092610121608022,59.96425484454409,3.005314315278933,6.3460415586320575,48.39193820304758,57.269744247107916,36.230592026244956,73.28161082321708,10.98657592223186,11.117112900071485,13.056858105813856,15.894947082507569,35.662854382435945,1.2028477338384302,13.317835972636859,55.01656891525352,2.9694785647930804,7.10878669258513,43.814595601403866,50.17454494722245,34.27514020899367,72.16298291118464,25.52460115535157,12.77129152517902,9.143497444141024,12.408328267663817,30.300314406319753,1.0671603264357967,83.85830993876951,74.39866151889184,81.88243645247762,81.87567095007238,86.13034340854104,77.67802009884778,2.1475711670774937,75.0369162992256,75.03464909688734,77.20082753460483,72.92328545640322,1.0955438999982692,6.845520153252025,8.92951587393621,4.754734642444561,33,9,215
2025,20242025,5,Alabama,SEC,37,28,9,1510,74.5,48.4,2371,1147,59.7,1267,757,35.3,1104,390,72.0,932,671,1567,1108,459,23,469,0,1,702,500,453,1432,3355,39.3,29.3,0.17,56.6,42.6,2523,1074,49.0,1650,809,30.4,873,265,71.0,837,594,1364,902,462,12,382,0,6,759,346,459,1336,3007,33.2,33.9,0.14,47.8,73.04425914359116,15.62601195903195,58.55087044074332,3.551161952319951,6.49123358061681,45.396983745783594,55.54741417997599,34.681994015707325,74.7120760397306,11.856003510794189,10.256080180207274,12.40684191579728,12.56348032048091,32.81908433015943,1.1957723435338206,13.990878872700527,53.94960981670424,4.685553560780372,6.43993948825268,43.876372946309,49.829982252341296,33.54031057916626,72.0851192070071,27.34613785771206,9.837150779945986,10.656353465787552,12.06944165250909,37.10501190075477,1.1152238655550537,87.34430493782371,81.46070103872081,82.90209057855925,82.90002578263935,87.18777568788175,78.6384477898579,2.1603516023108154,80.14909801210557,80.15673216312757,82.31674596868953,77.96777145429033,1.1130741532249147,2.7529925664536847,4.871029719192222,0.6706763355675776,95,3,347
2025,20242025,4,Alabama A&M,SWAC,32,10,22,1320,61.5,40.4,1966,795,46.4,1159,538,31.8,807,257,66.4,738,490,1172,725,447,27,513,0,8,687,428,491,970,2337,37.5,38.1,0.25,47.0,45.9,1816,834,50.3,1141,574,38.5,675,260,69.3,853,591,1198,828,370,40,514,0,6,599,441,555,1040,2521,47.0,30.9,0.25,53.1,67.35436978853225,11.6088595972097,55.19201153630468,3.1557951472300463,6.17984376341938,43.775526266491795,49.02147039120811,34.613443651971686,73.059146837051,9.515573183042012,11.274286191225162,10.495675587280582,13.134933146468347,28.545123777368346,1.065233536807887,14.249864707010826,56.25396994162915,2.8535155032208745,6.307221122779602,45.4513625575513,52.14389077600675,34.73804698956046,72.1935433562612,23.817604991088032,11.308666286974953,12.685047388189028,11.7329062232968,32.14590593585415,1.099797014924766,71.7481335493045,74.07613483556662,71.50442888083104,71.50706296959973,75.70316631676526,67.27145736651592,2.1433915267470303,73.90936193204608,73.90668744722603,76.0671965617089,71.77811644349241,1.0899076126599956,-2.404933051215039,-0.3640302449436348,-4.50665907697649,248,278,171
2025,20242025,6,Alabama State,SWAC,36,20,16,1455,68.3,40.5,2290,927,46.3,1312,607,32.7,978,320,68.6,665,456,1303,886,417,17,327,0,2,662,482,588,1026,2630,29.0,32.0,0.13,47.5,43.7,2044,893,50.6,1228,621,33.3,816,272,69.4,791,549,1426,1038,388,31,474,0,4,577,384,392,1056,2607,38.7,27.2,0.19,50.3,69.71821365801638,12.268900977221987,53.2009567164661,3.7009233405813733,7.161197443166123,42.58698893346759,48.69446429779542,32.95427524540013,70.3949699012057,11.842673211023442,12.573970612952765,12.337916590018803,14.194527608798952,30.33752149676173,1.0401766324500799,13.99102902648839,56.37669135475582,3.740731191591035,7.649772886052119,44.9872604520324,52.33216268615264,33.798383626091734,72.21664113710452,23.59197168232703,13.160006611120432,12.731231272438915,13.894792383396998,32.23073031268137,1.0904227874641594,72.51925670323064,76.02232887399606,71.58509784525353,71.5830304699265,75.78810131701006,67.36612939465059,2.1421669181962195,76.18171412012003,76.18459801413144,78.31320356657902,74.01994050059798,1.0908120346710704,-4.596616274866506,-2.5251022495689597,-6.653811105947398,299,275,249
2025,20242025,7,Alcorn State,SWAC,32,11,21,1295,62.8,41.1,1833,754,45.0,1295,583,31.8,538,171,71.7,561,402,1077,707,370,29,415,0,7,545,310,421,908,2081,30.6,34.4,0.2,45.8,44.8,1795,805,54.0,986,532,33.7,809,273,72.5,585,424,1090,747,343,21,389,0,4,503,364,498,966,2307,32.6,31.5,0.19,52.5,67.8063923846176,11.917471982487367,53.112469504964764,3.7517583567955457,6.884599290532961,43.0439691844859,48.685843813630434,33.300859317001226,71.59668917213692,9.644491042812552,12.962033947758114,9.981894965716382,13.191423656879124,30.500078896327366,1.0044716682344004,15.198460602343197,57.83098126737248,3.48454568301832,7.360241532046943,47.96057244377005,56.19921571245878,33.23872857784468,72.18544272555997,21.45400123737497,12.434540949546731,13.43512173448815,14.93703704549474,37.9479704619889,1.137355930554363,68.10960007553318,77.12000250814101,66.62181944640463,66.61206403748895,70.83667787335993,62.41923683281481,2.1402209177303693,78.48958592054869,78.49833916254525,80.63615621978568,76.304613173287,1.102144706373209,-11.867766474144062,-9.799478346425744,-13.885376340472185,359,357,326
2025,20242025,8,American University,Patriot,35,22,13,1450,62.3,44.4,1893,840,52.3,1034,541,34.8,859,299,75.4,566,427,1057,787,270,31,389,0,4,626,311,503,966,2406,29.9,25.5,0.17,52.3,45.7,1863,852,52.5,1211,636,33.1,652,216,70.0,643,450,1129,834,295,24,418,0,4,548,244,455,1132,2370,34.5,26.1,0.18,51.5,67.10665522403723,12.750349861078988,55.59555495206114,3.1835754039510764,6.189842705061607,44.209630691304234,52.85214724446776,33.49156731349301,73.4653369717456,9.496239596360027,10.781266914627711,10.01238471996461,13.77266067800222,30.839660240599887,1.0868892799756653,13.549490404959798,57.6409672694276,1.8805483069351887,7.1427843034586935,46.797565889955436,53.85442537603278,34.17254819125526,72.19884432891168,21.996142148261125,12.569236423722003,8.610695224651995,12.403597355278555,32.13949875035208,1.09074159458637,72.93750417802904,73.19602012642413,72.48365075099971,72.47920238833794,76.70199257989864,68.23221199303943,2.1543225014077527,72.8742346787734,72.87425698947982,75.02716578428465,70.7140056148275,1.1017962922765492,-0.3905839277736902,1.6748267956139955,-2.4817936217880714,188,242,122
2025,20242025,9,App State,Sun Belt,31,17,14,1255,57.5,43.7,1690,738,50.1,994,498,34.5,696,240,65.1,593,386,1144,841,303,15,335,0,1,414,184,326,906,2102,35.1,26.5,0.19,50.8,39.1,1861,728,45.3,1132,513,29.5,729,215,73.5,407,299,1113,773,340,14,294,0,1,522,188,325,872,1970,21.9,30.5,0.16,44.9,63.71536582078025,11.874997629311704,54.03457480836813,2.9094033685221548,5.462511835181501,43.556582875754415,53.625860806336846,32.21332226622378,67.53799235574922,11.177532708670865,10.228227463294022,8.672535370652554,11.56749798857574,30.084650515514426,1.085102637304099,12.248570334805787,52.862308673234416,3.4113661025144113,5.088173042873254,42.151886194023845,48.427586486237324,33.21488034435447,72.16548443999072,25.622823223954146,9.561986671178236,8.197808064096305,12.263090246068076,27.44315324164893,1.0633669572533262,69.1377114889241,67.75281468312568,72.67261336586526,72.65151332374725,76.96513231817623,68.40789832807543,2.1747774850359467,69.25666580598666,69.25708169914529,71.40208640951374,67.09899750838166,1.095994243058464,3.415947559878603,5.563045908662488,1.3089008196937755,78,237,26
2025,20242025,11,Arizona,Big 12,37,24,13,1510,68.9,47.4,2268,1076,54.7,1481,810,33.8,787,266,78.0,813,634,1470,1014,456,8,421,0,11,625,509,512,1446,3052,35.8,31.0,0.16,53.3,41.9,2274,953,47.5,1335,634,34.0,939,319,71.7,678,486,1202,810,392,23,426,0,12,659,325,485,1060,2711,29.8,32.6,0.16,48.9,69.27347072277796,16.380197336894376,58.433063098539826,3.579325457338174,6.210614896786193,48.68051163485779,54.64370785651143,34.42506942670997,72.3590483849602,12.315154430578659,11.077790977044904,14.557320223152049,14.910622784436597,40.77221537707494,1.1781013361621624,12.434075446407734,51.19652079694173,3.9718189747766006,7.549117354362652,40.96483798274605,46.42345865660682,32.82909512809821,72.18157410366517,28.434281022686502,11.866093130216258,9.225467086229559,12.045379517451494,27.43739646114399,0.9986599387606807,81.61116841909515,69.18064002974924,81.8023152443035,81.78128276287977,86.13572961326967,77.52607892707789,2.1922253908852323,70.79501731181821,70.78994365899399,72.99199511233597,68.59905602437944,1.110643550623114,11.007297932485287,13.143734500933704,8.927022902698454,8,10,54
