id,home,away,predicted
372226,Belmont,Drake,-9.965878752682471
372204,North Carolina A&T,Northeastern,-2.7958185904628436
372174,Winthrop,Charleston Southern,-4.420341291705114
372219,Lipscomb,Florida Gulf Coast,-3.7633512865344443
372192,Murray State,UIC,2.696212216791338
372175,Chattanooga,The Citadel,-7.101755998850209
372220,Austin Peay,Stetson,-8.377530399376852
212079,Akron,Northern Illinois,-16.514962559660248
372176,UNC Asheville,Longwood,1.3024449761577301
372227,Texas State,Southern Miss,-1.1027521835862188
372228,Merrimack,Sacred Heart,-5.736642506389487
212083,Eastern Michigan,Bowling Green,2.207928031703986
359037,Dayton,VCU,-0.056496178970874666
212084,Brown,Pennsylvania,-1.447164704810703
212078,Kent State,Western Michigan,-9.754777724855842
212081,Ball State,Central Michigan,-2.2044855154353655
212082,Toledo,Buffalo,-1.2670078949725365
212107,Harvard,Columbia,-7.085895243760092
372177,South Dakota,Omaha,0.15193742651082687
372229,Bradley,Valparaiso,-0.7540273658501206
372178,UNC Greensboro,VMI,-5.733548361397723
372221,Queens University,West Georgia,-8.003684292582193
215206,West Virginia,UCF,-8.2148700320801
372230,Tennessee State,UT Martin,4.211934811512521
372179,Radford,Presbyterian,2.58712412445405
372231,South Alabama,Georgia Southern,-4.254451364571324
372232,Saint Peter's,Fairfield,-3.314026521244486
215207,Seton Hall,St. John's,-0.8960682643461979
212080,Ohio,Miami (OH),7.215215900752895
372233,Washington State,Portland,-3.7759937644523944
372180,North Dakota,Denver,6.490617696321934
372234,Illinois State,Northern Iowa,1.8088120003520203
215222,San Diego State,UNLV,-8.91175231414691
372235,Morehead State,Southeast Missouri State,-0.5423662771459874
372236,Seattle U,San Diego,-4.451724694244703
212092,Missouri,Arkansas,-2.645822194873105
212104,Delaware,Louisiana Tech,-1.0900262577846291
215209,Oklahoma State,Houston,12.766973580379414
215228,Virginia,Virginia Tech,-12.280442562381438
359038,St. Bonaventure,Davidson,0.44378947084487663
215224,DePaul,Butler,-4.8437221214502415
215225,Villanova,Xavier,-13.16770292684086
215229,Boston College,Notre Dame,-0.8272269757775916
215235,Clemson,Georgia Tech,-15.226529670964695
372205,Stony Brook,Campbell,-0.8342829041068143
372222,Mercyhurst,Stonehill,-3.394757591984586
215226,Marquette,UConn,10.038015145620506
212094,Ole Miss,South Carolina,-1.0672272176466748
359039,Saint Joseph's,La Salle,-8.02697717654874
372206,UMass Lowell,UAlbany,-2.3489443610003207
372207,UMBC,New Hampshire,-16.549426632823042
212101,Florida International,Western Kentucky,2.039101301988609
212105,Liberty,Sam Houston,-4.1237754297672495
359042,Fordham,Rhode Island,0.27080289880878183
359043,Duquesne,Richmond,-2.86587275604802
215208,TCU,Cincinnati,-4.473498285915298
215233,Florida State,SMU,0.13501291805067694
212106,Yale,Princeton,-10.589304410336041
215211,Iowa State,Arizona State,-16.527191089388836
215210,Kansas,Kansas State,-11.390190918597881
212091,Tennessee,Vanderbilt,-8.439693662174165
215232,Miami,Louisville,-1.6431512130827173
359040,Dartmouth,Cornell,1.9695067465002722
359041,Loyola Chicago,George Washington,8.772315233738013
372208,Vermont,Bryant,-10.712955126326847
372223,Long Island University,Wagner,-5.354911768442449
215231,NC State,Stanford,-4.225086193831217
212100,Missouri State,Middle Tennessee,-5.6102930510259625
212103,UTEP,Jacksonville State,2.346013551084468
212093,Mississippi State,Georgia,6.943747128676847
215220,Colorado State,Boise State,-7.787809190836072
212096,Kentucky,Florida,0.565157515516546
215227,Wake Forest,California,-2.7073744193287155
212102,New Mexico State,Kennesaw State,-3.218675225297929
215216,Purdue,Wisconsin,-8.681654137409453
359045,George Mason,Saint Louis,4.006250268951845
359044,Utah State,New Mexico,-7.783125448157932
359046,Wichita State,Florida Atlantic,-7.738013398713576
372209,NJIT,Maine,-1.2321744765592086
215230,Syracuse,Pittsburgh,-2.0715013974643455
359047,San José State,Wyoming,7.425905757883029
215214,Baylor,Utah,-9.527596505091282
215218,Ohio State,Indiana,-2.3077203104288486
212095,LSU,Texas A&M,-2.9795011985874
372210,Towson,Hampton,-1.6504361731961694
372181,Samford,Furman,2.4877795097258115
372187,Quinnipiac,Marist,3.2148997348930806
215234,Duke,North Carolina,-13.519199393253913
212085,Cal Poly,Cal State Bakersfield,-5.404928352868637
212099,Abilene Christian,UT Arlington,1.700072557518581
372193,Idaho State,Northern Arizona,-7.969675836255448
212087,UC Irvine,UC Davis,-2.5565192849252725
215221,Grand Canyon,Fresno State,-11.183955866656007
215237,Cal State Northridge,Cal State Fullerton,-6.433775158078134
215223,Georgetown,Providence,-6.6185704029361005
212089,Alabama,Auburn,-3.6141723296490653
212090,Texas,Oklahoma,-5.001893115052496
212097,Southern Utah,California Baptist,7.479528566449858
372211,William & Mary,Elon,-2.589078183403103
372182,Mercer,Western Carolina,-4.5597821308688395
372188,Siena,Mount St. Mary's,-6.509585075862759
212088,UC Santa Barbara,UC San Diego,-6.222451541724496
212098,Utah Tech,Utah Valley,4.636273736622542
215215,USC,UCLA,2.7130930849320123
215219,Minnesota,Northwestern,-6.605931644606798
215236,Nevada,Air Force,-19.577190871093606
372194,Idaho,Sacramento State,-7.2282932749943
215213,BYU,Texas Tech,2.4145321620477347
215212,Colorado,Arizona,10.209718308053596
215217,Oregon,Washington,0.7147769256050509
212086,Hawai'i,Long Beach State,-15.260495536288715
215238,Rutgers,Penn State,-5.168470723931009
372237,Lehigh,Colgate,-3.864420240302607
359048,Tulane,Memphis,-1.146014769237226
359049,South Florida,Charlotte,-7.621159413620802
372238,Navy,Boston University,-8.576017864531138
215241,Maryland,Illinois,16.687341132200544
359050,Tulsa,Temple,-10.956374241687868
359051,Rice,UTSA,-11.832350148284618
359052,UAB,East Carolina,-10.425851039621833
372224,Green Bay,Northern Kentucky,-2.0930552474501667
215240,Michigan,Michigan State,-4.431332114512102
215239,Nebraska,Iowa,0.21951837844990507
372195,New Orleans,Houston Christian,-2.9105972006832417
372196,Nicholls,Northwestern State,1.5715531103784457
372197,Montana,Northern Colorado,3.0702028508758303
372225,Robert Morris,Detroit Mercy,-8.603137725404068
372198,Eastern Washington,Weber State,-0.9133164345493583
