id,source_id,season_label,season,season_type,start_date,start_time_tbd,neutral_site,conference_game,game_type,tournament,game_notes,status,home_team_id,home_team,home_conference_id,home_conference,home_seed,away_team_id,away_team,away_conference_id,away_conference,away_seed,venue_id,venue,city,state,home_rating,away_rating,proj_margin,proj_winner
215229,401820793,20252026,2026,regular,2026-03-07T17:00:00.000000,false,false,true,STD,,,scheduled,26,Boston College,2,ACC,,213,Notre Dame,2,ACC,,152,Conte Forum,Chestnut Hill,MA,-3.665817100667084,-1.4930440764446757,-0.8272269757775916,Boston College
372263,401856427,20252026,2026,regular,2026-03-08T16:00:00.000000,false,true,true,TRNMNT,,CAA Championship - Quarterfinal,scheduled,321,UNC Wilmington,12,CAA,,41,Campbell,12,CAA,,476,Entertainment & Sports Arena,Washington,DC,9.352356888443381,-2.0773051800912157,-11.429662068534597,UNC Wilmington
215234,401820788,20252026,2026,regular,2026-03-07T23:30:00.000000,false,false,true,STD,,,scheduled,72,Duke,2,ACC,,200,North Carolina,2,ACC,,6,Cameron Indoor Stadium,Durham,NC,16.884531475424794,6.36533208217088,-13.519199393253913,Duke
215222,401823787,20252026,2026,regular,2026-03-07T03:00:00.000000,false,false,true,STD,,,scheduled,257,San Diego State,20,Mountain West,,322,UNLV,20,Mountain West,,238,Viejas Arena,San Diego,CA,3.2463432388936866,-2.6654090752532227,-8.91175231414691,San Diego State
212093,401808284,20252026,2026,regular,2026-03-07T20:30:00.000000,false,false,true,STD,,,scheduled,174,Mississippi State,24,SEC,,98,Georgia,24,SEC,,109,Humphrey Coliseum,Starkville,MS,-6.284865968479281,3.6588811601975664,6.943747128676847,Georgia
372309,401851392,20252026,2026,regular,2026-03-12T03:30:00.000000,false,true,true,TRNMNT,,Big West Championship - 1st Round,scheduled,307,UC Davis,11,Big West,,311,UC Santa Barbara,11,Big West,,264,Lee's Family Forum,Henderson,NV,-0.24323382783687464,4.522436412823339,4.765670240660214,UC Santa Barbara
372439,401851726,20252026,2026,regular,2026-03-14T23:30:00.000000,false,true,true,TRNMNT,,SWAC Tournament - Final,scheduled,274,Southern,25,SWAC,,232,Prairie View A&M,25,SWAC,,529,Gateway Center,College Park,GA,-4.912011352910042,-5.997719189161131,-1.085707836251089,Southern
372302,401851175,20252026,2026,regular,2026-03-11T23:00:00.000000,false,true,true,TRNMNT,,T. Rowe Price ACC Tournament - 2nd Round,scheduled,90,Florida State,2,ACC,,40,California,2,ACC,,428,Spectrum Center,Charlotte,NC,-0.5544859475594563,1.4964568736905903,2.0509428212500467,California
215237,401823186,20252026,2026,regular,2026-03-08T01:00:00.000000,false,false,true,STD,,,scheduled,38,Cal State Northridge,11,Big West,,37,Cal State Fullerton,11,Big West,,351,Premier America Credit Union Arena,Northridge,CA,-2.7249180632129963,-6.158693221291131,-6.433775158078134,Cal State Northridge
372423,401851503,20252026,2026,regular,2026-03-14T01:30:00.000000,false,true,true,TRNMNT,,Mountain West Championship - Semifinal,scheduled,329,Utah State,20,Mountain West,,189,Nevada,20,Mountain West,,194,Thomas & Mack Center,Las Vegas,NV,9.515491505431768,2.124292404731918,-7.3911991006998505,Utah State
215211,401827726,20252026,2026,regular,2026-03-07T19:00:00.000000,false,false,true,STD,,,scheduled,125,Iowa State,6,Big 12,,10,Arizona State,6,Big 12,,4,Hilton Coliseum,Ames,IA,12.279001536222708,-1.248189553166128,-16.527191089388836,Iowa State
372301,401851559,20252026,2026,regular,2026-03-11T23:00:00.000000,false,true,true,TRNMNT,,SEC Tournament - 1st Round,scheduled,295,Texas,24,SEC,,220,Ole Miss,24,SEC,,481,Bridgestone Arena,Nashville,TN,5.028268229769893,-2.496590021865586,-7.524858251635479,Texas
372268,401851589,20252026,2026,regular,2026-03-08T20:00:00.000000,false,true,true,TRNMNT,,SoCon Championship - Semifinal,scheduled,75,East Tennessee State,26,SoCon,,348,Western Carolina,26,SoCon,,447,Harrah's Cherokee Center,Asheville,NC,6.00782584320757,-2.829831006730629,-8.837656849938199,East Tennessee State
215228,401820794,20252026,2026,regular,2026-03-07T17:00:00.000000,false,false,true,STD,,,scheduled,339,Virginia,2,ACC,,340,Virginia Tech,2,ACC,,227,John Paul Jones Arena,Charlottesville,VA,10.64374700176603,1.3633044393845921,-12.280442562381438,Virginia
372411,401851567,20252026,2026,regular,2026-03-13T23:00:00.000000,false,true,true,TRNMNT,,SEC Tournament - Quarterfinal,scheduled,5,Alabama,24,SEC,,220,Ole Miss,24,SEC,,481,Bridgestone Arena,Nashville,TN,4.111537591288666,-2.496590021865586,-6.608127613154252,Alabama
215236,401820576,20252026,2026,regular,2026-03-08T03:00:00.000000,false,false,true,STD,,,scheduled,189,Nevada,20,Mountain West,,2,Air Force,20,Mountain West,,186,Lawlor Events Center,Reno,NV,2.124292404731918,-14.452898466361688,-19.577190871093606,Nevada
372358,401851408,20252026,2026,regular,2026-03-12T01:00:00.000000,false,true,true,TRNMNT,,CUSA Championship - Quarterfinal,scheduled,255,Sam Houston,13,CUSA,,192,New Mexico State,13,CUSA,,463,Propst Arena,Huntsville,AL,3.926749548295575,2.043493701980651,-1.883255846314924,Sam Houston
372343,401851762,20252026,2026,regular,2026-03-11T01:00:00.000000,false,true,true,TRNMNT,,West Coast Conference Tournament - Final,scheduled,102,Gonzaga,31,WCC,,261,Santa Clara,31,WCC,,434,Orleans Arena,Las Vegas,NV,10.666073549902947,6.243438689364595,-4.422634860538352,Gonzaga
372182,401851582,20252026,2026,regular,2026-03-08T01:30:00.000000,false,true,true,TRNMNT,,SoCon Championship - Quarterfinal,scheduled,164,Mercer,26,SoCon,,348,Western Carolina,26,SoCon,,447,Harrah's Cherokee Center,Asheville,NC,1.7299511241382106,-2.829831006730629,-4.5597821308688395,Mercer
372206,401851200,20252026,2026,regular,2026-03-07T18:00:00.000000,false,false,true,TRNMNT,,America East Playoffs - Quarterfinal,scheduled,318,UMass Lowell,4,Am. East,,306,UAlbany,4,Am. East,,34,Costello Athletic Center,Lowell,MA,-2.899610302992812,-2.248554663993133,-2.3489443610003207,UMass Lowell
212102,401804966,20252026,2026,regular,2026-03-07T21:00:00.000000,false,false,true,STD,,,scheduled,192,New Mexico State,13,CUSA,,133,Kennesaw State,13,CUSA,,167,Pan American Center,Las Cruces,NM,2.043493701980651,1.8248184766827222,-3.218675225297929,New Mexico State
372197,401851332,20252026,2026,regular,2026-03-09T23:30:00.000000,false,true,true,TRNMNT,,Big Sky Championship - 3rd Round,scheduled,179,Montana,8,Big Sky,,207,Northern Colorado,8,Big Sky,,415,Idaho Central Arena,Boise,ID,-0.8236228342958469,2.2465800165799834,3.0702028508758303,Northern Colorado
372249,401851626,20252026,2026,regular,2026-03-08T01:00:00.000000,false,true,true,TRNMNT,,Summit League Championship - Semifinal,scheduled,202,North Dakota State,28,Summit,,221,Omaha,28,Summit,,477,Denny Sanford Premier Center,Sioux Falls,SD,5.382552024020356,-3.1125488566116672,-8.495100880632023,North Dakota State
372303,401851733,20252026,2026,regular,2026-03-12T00:30:00.000000,false,true,true,TRNMNT,,WAC Tournament - 1st Round,scheduled,1,Abilene Christian,30,WAC,,288,Tarleton State,30,WAC,,434,Orleans Arena,Las Vegas,NV,-2.422972367364153,-3.948675326677943,-1.52570295931379,Abilene Christian
372435,401851228,20252026,2026,regular,2026-03-14T21:30:00.000000,false,true,true,TRNMNT,,American Conference Championship - Semifinal,scheduled,352,Wichita State,5,American,,304,Tulsa,5,American,,377,Legacy Arena at BJCC,Birmingham,AL,4.47320011604387,10.164730591581005,5.691530475537135,Tulsa
212096,401808281,20252026,2026,regular,2026-03-07T21:00:00.000000,false,false,true,STD,,,scheduled,135,Kentucky,24,SEC,,87,Florida,24,SEC,,17,Rupp Arena,Lexington,KY,6.436656154126453,10.001813669643,0.565157515516546,Florida
215231,401820791,20252026,2026,regular,2026-03-07T19:15:00.000000,false,false,true,STD,,,scheduled,185,NC State,2,ACC,,281,Stanford,2,ACC,,74,Lenovo Center,Raleigh,NC,1.9799810824879671,0.7548948886567501,-4.225086193831217,NC State
212083,401814598,20252026,2026,regular,2026-03-06T23:30:00.000000,false,false,true,STD,,,scheduled,79,Eastern Michigan,17,MAC,,28,Bowling Green,17,MAC,,265,Gervin GameAbove Center,Ypsilanti,MI,-4.26285409131178,0.9450739403922057,2.207928031703986,Bowling Green
372412,401858191,20252026,2026,regular,2026-03-13T23:30:00.000000,false,true,true,TRNMNT,,MAC Championship - Semifinal,scheduled,3,Akron,17,MAC,,134,Kent State,17,MAC,,470,Rocket Mortgage FieldHouse,Cleveland,OH,7.093783424622487,0.9066498231715343,-6.187133601450952,Akron
